GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0042327	positive regulation of phosphorylation	8.01470209797279e-06	8.01470209797279e-06	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0009653	anatomical structure morphogenesis	1.02958376458919e-05	1.02958376458919e-05	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0045937	positive regulation of phosphate metabolic process	1.5250048558436e-05	1.5250048558436e-05	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0010562	positive regulation of phosphorus metabolic process	1.5250048558436e-05	1.5250048558436e-05	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0009605	response to external stimulus	1.71076438023038e-05	1.71076438023038e-05	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,NLRP1
GO:0007399	nervous system development	2.02724846937575e-05	2.02724846937575e-05	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0065009	regulation of molecular function	3.27998654055741e-05	3.27998654055741e-05	+1	ENSG00000167393,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000156103,NLRP1
GO:0018193	peptidyl-amino acid modification	3.69237009965593e-05	3.69237009965593e-05	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0019220	regulation of phosphate metabolic process	0.000145123447708969	0.000145123447708969	+1	ENSG00000167393,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0051174	regulation of phosphorus metabolic process	0.000145998490748412	0.000145998490748412	+1	ENSG00000167393,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0008038	neuron recognition	0.000420246828973461	0.000420246828973461	+1	ENSG00000044524,ENSG00000108947,ENSG00000116106,ENSG00000133216
GO:0042325	regulation of phosphorylation	0.000537998013961235	0.000537998013961235	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0009893	positive regulation of metabolic process	0.000541211743955386	0.000541211743955386	+1	ENSG00000185960,rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0007166	cell surface receptor signaling pathway	0.000711977771755125	0.000711977771755125	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0031325	positive regulation of cellular metabolic process	0.00165484503370605	0.00165484503370605	+1	ENSG00000185960,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,NLRP1
GO:0097156	fasciculation of motor neuron axon	0.00197541997402655	0.00197541997402655	+1	ENSG00000044524,ENSG00000116106
GO:0031290	retinal ganglion cell axon guidance	0.00223679927403222	0.00223679927403222	+1	ENSG00000133216,ENSG00000135333,ENSG00000154928
GO:0042221	response to chemical	0.00237585680591317	0.00237585680591317	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,NLRP1
GO:0048731	system development	0.00341463455814497	0.00341463455814497	+1	ENSG00000185960,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0106030	neuron projection fasciculation	0.00346746883008872	0.00346746883008872	+1	ENSG00000044524,ENSG00000116106,ENSG00000133216
GO:0007413	axonal fasciculation	0.00346746883008872	0.00346746883008872	+1	ENSG00000044524,ENSG00000116106,ENSG00000133216
GO:0006468	protein phosphorylation	0.00402124709633603	0.00402124709633603	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0021952	central nervous system projection neuron axonogenesis	0.00507971333173304	0.00507971333173304	+1	ENSG00000116106,ENSG00000133216,ENSG00000154928
GO:0008037	cell recognition	0.00581678021234503	0.00581678021234503	+1	ENSG00000044524,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000154928
GO:0099557	trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission	0.00592228789800321	0.00592228789800321	+1	ENSG00000108947,ENSG00000133216
GO:0097155	fasciculation of sensory neuron axon	0.00592228789800321	0.00592228789800321	+1	ENSG00000044524,ENSG00000116106
GO:0051336	regulation of hydrolase activity	0.00714102834156157	0.00714102834156157	+1	ENSG00000167393,ENSG00000044524,ENSG00000116106,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,NLRP1
GO:0046777	protein autophosphorylation	0.00838071232275888	0.00838071232275888	+1	ENSG00000070886,ENSG00000116106,ENSG00000135333,ENSG00000146904,ENSG00000154928
GO:0021955	central nervous system neuron axonogenesis	0.0138506547291981	0.0138506547291981	+1	ENSG00000116106,ENSG00000133216,ENSG00000154928
GO:0007275	multicellular organism development	0.0168097757798967	0.0168097757798967	+1	ENSG00000185960,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0016043	cellular component organization	0.0168681378765502	0.0168681378765502	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103,NLRP1
GO:0071840	cellular component organization or biogenesis	0.0261069202435023	0.0261069202435023	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103,NLRP1
GO:0016310	phosphorylation	0.0294097076427693	0.0294097076427693	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0021631	optic nerve morphogenesis	0.0295519439512526	0.0295519439512526	+1	ENSG00000133216,ENSG00000154928
GO:0030154	cell differentiation	0.0328172047383141	0.0328172047383141	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0010977	negative regulation of neuron projection development	0.0401501877604565	0.0401501877604565	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333
GO:1902961	positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	0.0413449964836159	0.0413449964836159	+1	ENSG00000116106,ENSG00000143590
GO:0043235	receptor complex	2.24202005114622e-10	2.24202005114622e-10	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0031226	intrinsic component of plasma membrane	1.18749829529661e-09	1.18749829529661e-09	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0005887	integral component of plasma membrane	2.67200993240579e-07	2.67200993240579e-07	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000156103
GO:0043005	neuron projection	6.3774412145965e-07	6.3774412145965e-07	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0120025	plasma membrane bounded cell projection	0.000121946716542366	0.000121946716542366	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0042995	cell projection	0.000187189890870062	0.000187189890870062	+1	rs17396340,ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317
GO:0030425	dendrite	0.000591093853356661	0.000591093853356661	+1	rs17396340,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000145242,ENSG00000146904,ENSG00000154928
GO:0097447	dendritic tree	0.000603789637573082	0.000603789637573082	+1	rs17396340,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000145242,ENSG00000146904,ENSG00000154928
GO:0099055	integral component of postsynaptic membrane	0.00169773774454682	0.00169773774454682	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333
GO:0098936	intrinsic component of postsynaptic membrane	0.00205308932746433	0.00205308932746433	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333
GO:0099699	integral component of synaptic membrane	0.00482456068725072	0.00482456068725072	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333
GO:0036477	somatodendritic compartment	0.00502830964335551	0.00502830964335551	+1	rs17396340,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000145242,ENSG00000146904,ENSG00000154928
GO:0099240	intrinsic component of synaptic membrane	0.00656381318412735	0.00656381318412735	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333
GO:0098978	glutamatergic synapse	0.00802556143985973	0.00802556143985973	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000154928
GO:0099056	integral component of presynaptic membrane	0.0141383843281363	0.0141383843281363	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216
GO:0005886	plasma membrane	0.0176543714379056	0.0176543714379056	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0098889	intrinsic component of presynaptic membrane	0.0198224150624364	0.0198224150624364	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216
GO:0071944	cell periphery	0.0235139566572629	0.0235139566572629	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0031224	intrinsic component of membrane	0.0298905308173782	0.0298905308173782	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364,ENSG00000156103
GO:0098839	postsynaptic density membrane	0.0352622616459513	0.0352622616459513	+1	ENSG00000108947,ENSG00000116106,ENSG00000135333
GO:0045211	postsynaptic membrane	0.0468571599247556	0.0468571599247556	+1	ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333
GO:0005005	transmembrane-ephrin receptor activity	8.10948008051983e-42	8.10948008051983e-42	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0005003	ephrin receptor activity	9.41270665728839e-38	9.41270665728839e-38	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0004714	transmembrane receptor protein tyrosine kinase activity	3.81138416879327e-28	3.81138416879327e-28	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0019199	transmembrane receptor protein kinase activity	1.73972553035215e-26	1.73972553035215e-26	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
GO:0004713	protein tyrosine kinase activity	8.42773895214817e-23	8.42773895214817e-23	+1	ENSG00000044524,ENSG00000070886,ENSG00000080224,ENSG00000108947,ENSG00000116106,ENSG00000133216,ENSG00000135333,ENSG00000142627,ENSG00000143590,ENSG00000145242,ENSG00000146904,ENSG00000154928,ENSG00000183317,ENSG00000243364
